iter	RMSE
204	2480378.296
205	2480073.099
206	2479258.662
207	2478591.464
208	2478196.519
209	2477708.029
210	2477293.614
211	2476610.517
212	2475784.585
213	2475171.796
214	2474205.185
215	2473797.996
216	2473455.724
217	2473117.544
218	2472536.978
219	2471936.178
220	2471698.259
221	2471273.148
222	2469878.328
223	2469430.513
224	2469005.111
225	2468346.404
226	2467920.13
227	2467497.983
228	2466619.57
229	2465907.009
230	2465122.564
231	2464714.595
232	2464294.819
233	2463913
234	2463598.58
235	2463246.549
236	2462965.832
237	2462531.415
238	2462120.322
239	2461898.424
240	2461623.605
241	2460334.254
242	2459682.212
243	2459327.747
244	2458990.013
245	2458539.892
246	2457749.772
247	2456995.263
248	2456431.118
249	2456123.907
250	2455817.265
251	2455565.628
252	2454889.305
253	2454791.918
254	2454229.042
255	2453978.722
256	2453488.173
257	2453160.688
258	2452920.258
259	2452452.3
260	2451957.117
261	2451601.167
262	2451568.913
263	2451156.377
264	2450643.957
265	2450425.621
266	2450085.801
267	2449476.56
268	2449448.894
269	2449244.126
270	2448818.17
271	2448568.824
272	2448340.102
273	2447849.926
274	2447296.84
275	2446919.693
276	2446402.137
277	2446129.004
278	2445432.092
279	2445121.206
280	2444761.215
281	2444390.093
282	2444116.163
283	2443622.73
284	2443325.035
285	2442969.351
286	2442663.804
287	2441892.554
288	2441439.049
289	2441143.276
290	2440924.138
291	2440902.93
292	2440672.803
293	2440267.201
294	2439681.873
295	2439401.401
296	2439386.382
297	2439056.926
298	2438770.492
299	2438549.091
300	2438284.443
301	2437680.495
302	2437397.204
303	2437059.234
304	2436825.469
305	2436808.536
306	2436469.795
307	2436106.677
308	2435681.37
309	2435180.54
310	2434947.556
311	2434648.738
312	2434181.708
313	2433602.878
314	2432968.271
315	2432592.517
316	2432099.928
317	2431660.53
318	2431229.409
319	2430940.941
320	2430609.631
321	2430579.536
322	2430220.427
323	2429718.815
324	2429541.22
325	2428571.049
326	2428478.324
327	2428009.663
328	2427837.57
329	2427554.819
330	2426973.471
331	2426579.194
332	2426417.323
333	2426114.122
334	2425812.227
335	2425437.132
336	2425171.898
337	2424742.663
338	2424441.869
339	2424219.551
340	2423852.623
341	2423744.064
342	2423414.93
343	2423120.89
344	2422364.249
345	2422107.374
346	2421382.446
347	2420918.109
348	2420371.084
349	2420028.985
350	2419681.094
351	2419199.434
352	2418844.269
353	2418369.178
354	2418184.729
355	2417971.379
356	2417792.353
357	2417391.071
358	2416922.024
359	2416585.901
360	2416443.9
361	2416062.468
362	2415597.255
363	2415399.122
364	2415193.418
365	2415176.558
366	2414873.604
367	2414620.609
368	2414537.719
369	2414527.281
370	2413350.129
371	2413069
372	2412805.043
373	2412579.616
374	2412342.663
375	2412042.27
376	2411705.254
377	2411448.916
378	2411141.587
379	2410898.989
380	2410701.513
381	2410495.648
382	2410002.13
383	2409829.695
384	2409547.615
385	2409298.653
386	2408599.897
387	2408485.52
388	2408241.301
389	2407901.151
390	2407873.984
391	2407733.226
392	2407508.599
393	2407162.039
394	2406716.183
395	2406291.538
396	2406000.17
397	2405639.8
398	2404990.043
399	2404909.422
400	2404754.832
401	2404559.902
402	2404303.566
403	2403841.006
404	2403568.528
405	2403302.557
406	2402843.774
407	2402622.259
408	2402260.417
409	2401895.862
410	2401759.854
411	2401577.185
412	2401478.766
413	2401174.382
414	2400946.839
415	2400933.865
416	2400624.388
417	2400368.212
418	2400095.647
419	2399818.504
420	2399547.149
421	2399231.729
422	2399023.492
423	2398723.934
424	2398554.685
425	2398401.146
426	2398381.401
427	2398088.399
428	2397671.209
429	2397372.446
430	2397002.279
431	2396607.123
432	2396203.317
433	2395927.801
434	2395637.397
435	2395345.209
436	2395100.412
437	2394707.24
438	2394516.169
439	2394227.31
440	2393966.379
441	2393702.594
442	2393554.2
443	2393268.963
444	2392893.717
445	2392594.561
446	2392352.961
447	2392131.215
448	2391809.418
449	2391579.455
450	2391244.72
451	2391003.819
452	2390767.318
453	2390411.513
454	2390165.228
455	2389896.974
456	2389486.9
457	2389376.757
458	2388950.198
459	2388381.667
460	2387993.788
461	2387856.708
462	2387668.076
463	2387398.694
464	2387114.948
465	2386740.235
466	2386462.948
467	2386242.319
468	2385934.399
469	2385905.798
470	2385728.458
471	2385598.027
472	2385521.939
473	2385195.796
474	2384757.56
475	2384579.481
476	2384278.944
477	2384007.397
478	2383844.979
479	2383690.203
480	2383432.419
481	2383149.893
482	2382929.35
483	2382730.948
484	2382724.754
485	2382478.701
486	2382468.123
487	2382022.436
488	2381727.455
489	2381496.487
490	2381164.774
491	2380886.32
492	2380637.458
493	2380408.711
494	2380159.244
495	2379877.499
496	2379556.69
497	2379334.272
498	2379057.306
499	2378906.769
500	2378533.554
501	2378366.712
502	2378108.04
503	2377785.646
504	2377539.428
505	2377318.357
506	2377127.229
507	2376754.618
508	2376592.784
509	2376365.319
510	2376160.807
511	2375877.502
512	2375535.418
513	2375239.034
514	2374966.812
515	2374723.622
516	2374647.912
517	2374478.402
518	2374247.917
519	2373983.891
520	2373769.465
521	2373386.42
522	2373198.53
523	2372976.728
524	2372759.135
525	2372587.962
526	2372217.214
527	2371974.384
528	2371707.097
529	2371582.175
530	2371354.968
531	2371130.839
532	2370735.126
533	2370506.526
534	2370216.464
535	2370013.999
536	2369752.88
537	2369558.487
538	2369318.684
539	2369136.823
540	2369042.471
541	2368859.095
542	2368549.276
543	2368399.816
544	2368244.351
545	2368239.165
546	2368072.59
547	2367927.477
548	2367612.717
549	2367395.285
550	2366979.338
551	2366791.628
552	2366500.839
553	2366337.576
554	2366120.322
555	2365834.077
556	2365561.2
557	2365256.337
558	2365021.986
559	2364709.471
560	2364673.488
561	2364381.44
562	2364088.771
563	2363810.233
564	2363628.494
565	2363178.389
566	2362661.72
567	2362383.947
568	2362240.458
569	2361987.054
570	2361737.215
571	2361546.506
572	2361354.641
573	2361067.514
574	2360945.432
575	2360668.939
576	2360426.882
577	2360140.958
578	2359916.293
579	2359719.885
580	2359627.133
581	2359340.007
582	2358993.054
583	2358735.813
584	2358530.349
585	2358386.598
586	2358168.241
587	2358042.001
588	2357918.104
589	2357706.815
590	2357420.44
591	2357254.048
592	2356943.705
593	2356669.784
594	2356509.853
595	2356337.316
596	2356268.829
597	2356053.865
598	2355830.04
599	2355609.323
600	2355599.784
601	2355471
602	2355248.953
603	2355138.488
604	2354960.232
605	2354675.364
606	2354458.042
607	2354216.254
608	2354018.203
609	2353830.828
610	2353819.093
611	2353813.86
612	2353504.171
613	2353290.849
614	2353046.744
615	2352731.276
616	2352559.08
617	2352145.478
618	2351988.705
619	2351784.541
620	2351509.976
621	2351331.801
622	2351144.3
623	2351047.421
624	2350699.988
625	2350489.652
626	2350329.844
627	2350102.897
628	2349978.621
629	2349756.603
630	2349590.601
631	2349391.162
632	2349384.177
633	2349073.118
634	2348876.608
635	2348642.85
636	2348364.726
637	2348140.999
638	2347990.916
639	2347793.302
640	2347595.527
641	2347327.284
642	2347315.415
643	2347029.779
644	2346933.204
645	2346787.294
646	2346520.949
647	2346328.352
648	2346158.946
649	2346064.01
650	2345944.686
651	2345744.1
652	2345537.532
653	2345360.826
654	2345167.001
655	2344944.561
656	2344674.42
657	2344485.807
658	2344350.915
659	2344190.45
660	2343907.073
661	2343659.071
662	2343431.027
663	2343273.416
664	2343086.873
665	2342962.998
666	2342743.556
667	2342347.921
668	2342201.16
669	2342092.012
670	2341860.151
671	2341678.295
672	2341674.701
673	2341474.932
674	2341314.634
675	2341219.74
676	2341030.416
677	2340875.317
678	2340716.418
679	2340426.947
680	2340258.075
681	2339997.826
682	2339905.735
683	2339732.496
684	2339534.117
685	2339236.283
686	2339075.086
687	2338900.319
688	2338619.62
689	2338459.02
690	2338322.452
691	2337992.356
692	2337863.885
693	2337689.442
694	2337382.646
695	2337135.687
696	2337037.568
697	2336741.072
698	2336613.326
699	2336578.713
700	2336287.054
701	2336280.855
702	2336102.658
703	2336099.28
704	2335851.079
705	2335752.713
706	2335491.324
707	2335281.808
708	2335061.34
709	2334789.266
710	2334621.774
711	2334613.413
712	2334422.791
713	2334207.134
714	2333875.049
715	2333678.224
716	2333541.015
717	2333323.763
718	2333188.602
719	2333012.489
720	2332855.161
721	2332720.341
722	2332101.1
723	2331814.519
724	2331450.276
725	2331306.967
726	2331086.06
727	2330820.86
728	2330444.803
729	2330233.429
730	2330023.16
731	2329788.904
732	2329676.343
733	2329482.773
734	2329278.132
735	2329007.825
736	2328891.68
737	2328888.321
738	2328762.067
739	2328532.242
740	2328311.52
741	2328199.722
742	2328060.236
743	2327850.822
744	2327595.633
745	2327510.116
746	2327268.581
747	2327083.988
748	2326945.203
749	2326749.346
750	2326597.36
751	2326414.979
752	2326145.092
753	2326132.152
754	2326020.242
755	2325805.137
756	2325569.254
757	2325405.93
758	2325378.795
759	2325318.386
760	2325068.222
761	2324903.772
762	2324701.259
763	2324580.48
764	2324490.346
765	2324252.324
766	2324147.807
767	2323789.645
768	2323634.877
769	2323435.703
770	2323242.559
771	2323120.463
772	2322920.665
773	2322757.858
774	2322558.291
775	2322450.558
776	2322275.824
777	2322080.978
778	2321888.946
779	2321791.679
780	2321594.475
781	2321440.904
782	2321239.559
783	2321084.186
784	2320887.695
785	2320713.816
786	2320435.072
787	2320124.613
788	2319897.471
789	2319759.712
790	2319576.022
791	2319482.49
792	2319238.008
793	2319025.416
794	2318822.915
795	2318694.638
796	2318513.482
797	2318254.115
798	2318021.89
799	2317923.551
800	2317801.896
801	2317550.157
802	2317318.81
803	2317169.478
804	2316982.977
805	2316875.333
806	2316743.669
807	2316506.351
808	2316353.24
809	2316246.35
810	2316013.481
811	2315827.675
812	2315645.531
813	2315380.012
814	2315188.89
815	2314950.903
816	2314854.484
817	2314660.308
818	2314486.188
819	2314345.676
820	2314047.822
821	2313910.296
822	2313733.31
823	2313641.808
824	2313466.017
825	2313354.959
826	2313319.974
827	2313037.64
828	2312807.625
829	2312740.748
830	2312695.526
831	2312491.584
832	2312247.682
833	2312154.779
834	2312035.758
835	2311793.342
836	2311492.417
837	2311367.326
838	2311241.025
839	2311022.656
840	2310789.253
841	2310565.669
842	2310389.068
843	2310304.749
844	2310131.445
845	2310028.375
846	2309875.714
847	2309671.158
848	2309479.738
849	2309186.876
850	2309057.472
851	2308943.625
852	2308797.142
853	2308678.881
854	2308554.606
855	2308074.101
856	2307936.515
857	2307696.299
858	2307508.426
859	2307327.163
860	2307206.255
861	2307020.51
862	2306914.618
863	2306827.925
864	2306618.055
865	2306459.134
866	2306209.444
867	2305931.769
868	2305726.362
869	2305689.656
870	2305519.62
871	2305343.873
872	2305143.721
873	2305017.974
874	2304885.657
875	2304789.614
876	2304610.016
877	2304496.625
878	2304258.159
879	2304086.926
880	2303965.444
881	2303808.409
882	2303658.392
883	2303471.69
884	2303370.113
885	2303216.823
886	2303078.054
887	2302911.882
888	2302776.876
889	2302705.508
890	2302622.177
891	2302446.513
892	2302254.708
893	2302152.693
894	2301901.308
895	2301601.461
896	2301382.588
897	2301380.318
898	2301227.568
899	2301056.707
900	2300989.914
901	2300775.201
902	2300610.19
903	2300472.078
904	2300431.838
905	2300280.381
906	2300178.454
907	2300055.521
908	2300003.418
909	2299853.542
910	2299700.619
911	2299581.148
912	2299398.939
913	2299277.892
914	2299270.713
915	2298948.633
916	2298782.255
917	2298456.141
918	2298274.724
919	2298273.241
920	2298271.12
921	2298111.299
922	2297916.525
923	2297770.991
924	2297408.109
925	2297300.834
926	2297213.962
927	2297084.818
928	2296912.967
929	2296799.45
930	2296607.084
931	2296458.673
932	2296322.94
933	2296240.753
934	2296073.09
935	2296070.424
936	2295847.077
937	2295755.395
938	2295642.906
939	2295530.86
940	2295355.665
941	2295103.705
942	2294917.182
943	2294755.931
944	2294610.683
945	2294533.708
946	2294431.023
947	2294236.245
948	2294013.843
949	2293956.387
950	2293685.708
951	2293684.107
952	2293494.26
953	2293470.271
954	2293374.265
955	2293263.666
956	2293041.871
957	2292832.303
958	2292690.266
959	2292563.366
960	2292367.015
961	2292240.323
962	2292020.752
963	2291773.243
964	2291504.986
965	2291382.668
966	2291209.224
967	2291197.742
968	2291017.495
969	2290898.736
970	2290760.787
971	2290673.763
972	2290513.169
973	2290298.468
974	2290190.7
975	2290017.188
976	2289916.743
977	2289745.565
978	2289618.864
979	2289509.394
980	2289387.861
981	2289212.929
982	2289055.384
983	2288848.16
984	2288748.734
985	2288581.474
986	2288419.627
987	2288314.177
988	2288125.398
989	2287972.202
990	2287801.257
991	2287631.225
992	2287468.165
993	2287352.43
994	2287183.547
995	2286981.297
996	2286799.741
997	2286597.743
998	2286480.394
999	2286331.463
.808
999	2289655.034
