iter	Passed	Remaining
401	8456	12579
402	8474	12554
403	8498	12537
404	8517	12513
405	8533	12484
406	8550	12457
407	8566	12429
408	8581	12400
409	8598	12372
410	8613	12343
411	8628	12315
412	8643	12285
413	8660	12258
414	8677	12231
415	8690	12200
416	8708	12174
417	8725	12149
418	8742	12123
419	8761	12099
420	8777	12071
421	8796	12048
422	8811	12020
423	8827	11992
424	8843	11964
425	8858	11936
426	8872	11905
427	8889	11879
428	8906	11854
429	8926	11832
430	8944	11808
431	8962	11783
432	8982	11761
433	8999	11736
434	9016	11711
435	9033	11684
436	9048	11658
437	9067	11634
438	9082	11606
439	9099	11580
440	9116	11555
441	9134	11531
442	9148	11502
443	9164	11476
444	9182	11452
445	9199	11426
446	9217	11403
447	9236	11380
448	9262	11366
449	9280	11343
450	9299	11320
451	9316	11295
452	9334	11270
453	9350	11245
454	9367	11220
455	9384	11195
456	9404	11173
457	9419	11147
458	9437	11123
459	9456	11100
460	9474	11077
461	9490	11051
462	9507	11027
463	9525	11003
464	9542	10978
465	9559	10954
466	9575	10928
467	9591	10903
468	9608	10879
469	9622	10851
470	9638	10825
471	9656	10801
472	9670	10774
473	9686	10749
474	9705	10727
475	9723	10704
476	9741	10680
477	9757	10656
478	9774	10631
479	9787	10603
480	9803	10577
481	9820	10553
482	9836	10528
483	9851	10503
484	9865	10475
485	9882	10452
486	9896	10424
487	9914	10402
488	9933	10380
489	9950	10356
490	9968	10334
491	9987	10312
492	10003	10287
493	10021	10264
494	10037	10240
495	10053	10215
496	10071	10193
497	10087	10168
498	10105	10145
499	10120	10120
500	10138	10098
501	10154	10073
502	10170	10049
503	10190	10029
504	10208	10006
505	10225	9983
506	10242	9959
507	10260	9936
508	10275	9912
509	10293	9890
510	10309	9865
511	10326	9842
512	10343	9819
513	10359	9795
514	10377	9773
515	10394	9750
516	10410	9725
517	10426	9701
518	10443	9678
519	10460	9656
520	10478	9633
521	10495	9611
522	10513	9588
523	10528	9563
524	10544	9540
525	10560	9516
526	10578	9494
527	10596	9472
528	10615	9451
529	10632	9428
530	10650	9406
531	10665	9382
532	10683	9360
533	10704	9341
534	10721	9318
535	10736	9294
536	10756	9273
537	10773	9251
538	10791	9230
539	10809	9208
540	10823	9183
541	10839	9159
542	10856	9137
543	10873	9114
544	10890	9092
545	10903	9066
546	10922	9045
547	10938	9022
548	10956	9000
549	10972	8977
550	10990	8956
551	11006	8933
552	11024	8911
553	11039	8887
554	11056	8864
555	11073	8842
556	11090	8821
557	11109	8799
558	11124	8776
559	11140	8753
560	11155	8729
561	11172	8707
562	11191	8686
563	11208	8664
564	11225	8642
565	11243	8620
566	11261	8600
567	11278	8577
568	11294	8555
569	11310	8532
570	11328	8511
571	11344	8488
572	11361	8466
573	11378	8444
574	11393	8420
575	11426	8411
576	11442	8388
577	11458	8366
578	11475	8344
